YEAR,SONG,ARTIST,URI,SONG_IMG,TRACK_DURATION
1992,End Of The Road,Boyz II Men,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,https://i.scdn.co/image/ab67616d0000b27373d0d8625dcf1e48043cfbf9,351466
1993,I Will Always Love You,Whitney Houston,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e,271093
1994,The Sign,Ace Of Base,spotify:track:0hrBpAOgrt8RXigk83LLNE,https://i.scdn.co/image/ab67616d0000b273fda5556cb6981c3113df6175,191240
1995,Gangsta’s Paradise,Coolio,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,240693
1996,Macarena,Los Del Rio,spotify:track:4oaj36KzXRgDg4McgcTsZK,https://i.scdn.co/image/ab67616d0000b273a8c284ce171e96a79eabf7de,249506
1997,Candle In The Wind,Elton John,spotify:track:3DUcaEvPO72PijivCjtZcU,https://i.scdn.co/image/ab67616d0000b27352a56df14c3a5e318925787c,250106
1998,Too Close,Next,spotify:track:5IFCyWplye09HytIP80RCF,https://i.scdn.co/image/ab67616d0000b2734ca1daad1145dec4618ea671,259440
1999,Believe,Cher,spotify:track:7oZ0zdjqBx5pqrPBAdErdd,https://i.scdn.co/image/ab67616d0000b273f1d32807bcc8fd3b7dbf813a,239053
2000,Breathe,Faith Hill,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://i.scdn.co/image/ab67616d0000b273f4adbbdcd39b09e5f0b9e03e,250546
2001,Hanging By a Moment,Lifehouse,spotify:track:6jWLyg8AuMQ9LtIB2UlfOF,https://i.scdn.co/image/ab67616d0000b27331539dc49b964e11ccc239a7,216360
2002,How You Remind Me,Nickelback,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c,223840
2003,In Da Club,50 Cent,spotify:track:7iL6o9tox1zgHpKUfh9vuC,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,193466
2004,Yeah!," Usher, Lil Jon e Ludacris",spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,250373
2005,We Belong Together,Mariah Carey,spotify:track:4EI8VuxUuIHKfafU72emqz,https://i.scdn.co/image/ab67616d0000b273006adc0cc250c8f9c5494aec,201400
2006,Bad Day,Daniel Powter,spotify:track:0mUyMawtxj1CJ76kn9gIZK,https://i.scdn.co/image/ab67616d0000b273d5d74dc15f88ec6e02c7378d,233640
2007,Irreplaceable,Beyoncé,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,https://i.scdn.co/image/ab67616d0000b273026e88f624dfb96f2e1ef10b,227853
2008,Low,Flo Rida e T-Pain,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://i.scdn.co/image/ab67616d0000b273f9bd7a6c772ac496015be3f8,231400
2009,Boom Boom Pow,Black Eyed Peas,spotify:track:3oDFtOhcN08qeDPAK6MEQG,https://i.scdn.co/image/ab67616d0000b2730bd44f5ff9ecc99f7770acc5,251440
2010,TiK ToK,Kesha,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://i.scdn.co/image/ab67616d0000b273142e5c0e611841b87c2dc533,199693
2011,Rolling in the Deep,Adele,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,228093
2012,Somebody That I Used To Know ,Gotye e Kimbra,spotify:track:1qDrWA6lyx8cLECdZE7TV7,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e,244884
2013,Thrift Shop,Macklemore e Ryan Lewis,spotify:track:1CmUZGtH29Kx36C1Hleqlz,https://i.scdn.co/image/ab67616d0000b2731cdc7eab166fcbfcaf8be8f6,235613
2014,Happy,Pharrell Williams,spotify:track:60nZcImufyMA1MKQY3dcCH,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba,232720
2015,Uptown Funk!,Mark Ronson e Bruno Mars,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,269666
2016,Love Yourself,Justin Bieber,spotify:track:50kpGaPAhYJ3sGmk6vplg0,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,233720
2017,Shape of You,Ed Sheeran,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,233712
2018,God’s Plan,Drake,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,198973
2019,Old Town Road,Lil Nas X,spotify:track:2YpeDb67231RjR0MgVLzsG,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01,157066
2020,Blinding Lights,The Weeknd,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,200040
2021,Levitating,Dua Lipa,spotify:track:39LLxExYz6ewLAcYrzQQyP,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f,203807
2022,Heat Waves,Glass Animals,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,238805
2023,Last Night,Morgan Wallen,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,163854
2024,Lose Control,Teddy Swims,spotify:track:6usohdchdzW9oML7VC4Uhk,https://i.scdn.co/image/ab67616d0000b2731d856e66d33e22746c21a09c,210688
